trip_purpose,passanger,weather_condition,ambient_temp,time_block,offer_validity,customer_gender,age_group,marital_status,household_children_flag,education_level,employment_type,income_band,vehicle_class,accepted_flag,behavioral_index,segment_flag,activity_score,risk_index,recency_score,id
Work,Alone,Sunny,54.79439033901485,7AM,1d,Female,31,Married partner,-0.022158273884956035,Some college - no degree,Business & Financial,$100000 or More,,0,1.3623748466258918,0,0.55808269512944,2.5554678714704986,0.10735035199451604,1831
Work,Friend(s),Sunny,55.68079690760674,7AM,1d,Male,36,Married partner,0.008961261139289672,Bachelors degree,Construction & Extraction,$100000 or More,,1,-1.1281825100050413,2,0.37263151621761026,3.801919515758567,0.4858067324809564,1832
Home,Alone,Sunny,78.12318748955371,6PM,1d,Male,21,Unmarried partner,-0.003096901951957109,Some college - no degree,Student,Less than $12500,crossover,1,-0.43782083602916255,3,0.08810605473429824,0.577320762931315,0.7068351405745622,1833
Home,Friend(s),Sunny,54.92930842553254,2PM,1d,Male,36,Married partner,1.0486366561584795,Some college - no degree,Management,$62500 - $74999,,1,0.8813267741106944,1,0.563102913122861,0.10346708964335619,0.8567434443047983,1834
Home,Alone,Snowy,30.309843583778125,10PM,2h,Female,50plus,Married partner,0.9631910808830418,Graduate degree (Masters or Doctorate),Education&Training&Library,$12500 - $24999,,1,-2.249043056609412,1,0.5535697052289752,0.6367714123358931,0.8206546634292099,1835
No Urgent Place,Kid(s),Sunny,55.95996746891377,6PM,2h,Female,41,Married partner,1.049371724040369,Associates degree,Unemployed,$75000 - $87499,,0,1.5935706217275978,0,0.023337241892411372,0.7208853682333243,0.9736781735379715,1836
No Urgent Place,Friend(s),Snowy,81.58294600548354,2PM,1d,Female,50plus,Unmarried partner,0.9961351092411707,High School Graduate,Legal,$25000 - $37499,,1,-0.22834978024014166,0,0.13596788418137915,1.0877744280338848,0.3132580193843322,1837
Home,Alone,Snowy,30.225198415918552,10PM,2h,Female,21,Married partner,1.0115464306298052,Associates degree,Unemployed,$50000 - $62499,,0,-0.4278160523365842,0,0.3575050554483321,0.2762863192962941,0.039279543426226415,1838
Home,Kid(s),Sunny,54.856261519805756,6PM,2h,Female,26,Married partner,1.0216767515958542,Some college - no degree,Unemployed,$50000 - $62499,,0,-1.45314956796823,3,0.17180390624239236,2.8231397877562956,0.5843352703162425,1839
Work,Alone,Sunny,80.0054042851182,7AM,2h,Male,46,Married partner,0.9791577158797471,Some college - no degree,Computer & Mathematical,$37500 - $49999,,0,-0.5681192915914361,2,0.3617615663105999,0.5711031273890181,0.7604322888550811,1840
No Urgent Place,Friend(s),Sunny,55.06253596804526,2PM,1d,Male,31,Single,0.0437729952456795,Some college - no degree,Computer & Mathematical,$37500 - $49999,,1,-0.8574649171832224,3,0.3488002028103067,1.1633301937809117,0.7003292093926985,1841
Work,Alone,Rainy,56.12839190645857,7AM,1d,Male,31,Single,0.06721325091502219,Some college - no degree,Office & Administrative Support,$12500 - $24999,,1,0.507171876004721,3,0.3248424553289781,0.6972973639010248,0.006389526059917716,1842
No Urgent Place,Kid(s),Sunny,55.70397815038443,6PM,2h,Female,50plus,Single,1.0047922227605868,High School Graduate,Sales & Related,$37500 - $49999,,1,0.3580322507790407,3,0.42104326857618407,0.8955587336596296,0.8284792477417593,1843
Work,Alone,Sunny,54.86179193668822,7AM,1d,Female,26,Married partner,-0.014476739940415453,Graduate degree (Masters or Doctorate),Healthcare Practitioners & Technical,$100000 or More,,0,-0.5349780666500142,0,0.19805998137005465,1.6533188972334099,0.7774786135561895,1844
No Urgent Place,Friend(s),Sunny,79.02631649894099,10PM,1d,Female,31,Single,0.005890310881493814,Associates degree,Arts Design Entertainment Sports & Media,$75000 - $87499,,1,0.3314309907114819,1,0.19393452538346007,0.1392499272635652,0.767315313439653,1845
Home,Alone,Sunny,79.99234964028118,6PM,2h,Male,41,Divorced,1.0170165431460227,Bachelors degree,Sales & Related,$62500 - $74999,,0,0.41362190858613934,3,0.17576423458824866,1.252216100050043,0.9896439249298784,1846
Home,Alone,Sunny,53.9002136046275,6PM,2h,Female,50plus,Single,0.013504451411087477,Graduate degree (Masters or Doctorate),Unemployed,$12500 - $24999,,0,-0.9386266295674474,3,0.10523324121094901,0.1828657394258197,0.45826613531054394,1847
Work,Alone,Sunny,79.32659208564282,7AM,1d,Male,21,Single,-0.03787291546298954,Some college - no degree,Production Occupations,Less than $12500,,1,-0.14573656370076207,2,0.18964507134573674,0.7802593158510057,0.559269512788013,1848
Home,Alone,Sunny,79.12740874742427,6PM,2h,Female,26,Single,0.996242813197331,High School Graduate,Unemployed,Less than $12500,,0,0.38387203005243276,0,0.6866966898644377,0.5146720184299074,0.4083086683144319,1849
Home,Alone,Sunny,81.18839199703244,2PM,2h,Female,31,Married partner,-0.007163317521086945,Some college - no degree,Computer & Mathematical,$100000 or More,,0,-0.4825226701403638,2,0.2253112451040976,0.13379369508637765,0.46194382288794056,1850
No Urgent Place,Friend(s),Sunny,78.22160483624026,10AM,2h,Male,50plus,Married partner,-0.014499122990017476,Some college - no degree,Protective Service,$37500 - $49999,,0,0.9167750969980836,0,0.4482828827935471,0.68910230507429,0.3221377526634476,1851
No Urgent Place,Partner,Rainy,81.75559320048076,10PM,2h,Female,21,Unmarried partner,0.03252931363289908,Graduate degree (Masters or Doctorate),Student,$25000 - $37499,,1,-2.1185422603952997,3,0.228441659830156,2.3649942568514777,0.2489895634875826,1852
No Urgent Place,Friend(s),Sunny,55.304534952849,10PM,2h,Male,31,Married partner,1.0103705549733086,Graduate degree (Masters or Doctorate),Healthcare Practitioners & Technical,$50000 - $62499,,1,-0.11567758975550174,1,0.4928085998170415,0.19192371015202497,0.5316427703566732,1853
Home,Partner,Sunny,30.969329815231024,10PM,2h,Male,31,Single,0.9776362401070153,Associates degree,Installation Maintenance & Repair,$37500 - $49999,,0,1.7640585551254055,3,0.19112358942306296,3.0717542615486177,0.7211927652323784,1854
No Urgent Place,Partner,Rainy,53.211690994113575,10AM,2h,Male,50plus,Married partner,0.011942858191110845,Graduate degree (Masters or Doctorate),Retired,$50000 - $62499,,1,-0.602775356827692,1,0.0542451400704362,0.42817512556734516,0.6866099939254116,1855
Work,Alone,Snowy,30.20222870951234,7AM,1d,Female,21,Single,1.038400699185941,Bachelors degree,Food Preparation & Serving Related,$12500 - $24999,,0,-0.23806865106851008,0,0.3173635408424552,5.676993299057529,0.42402721230623786,1856
No Urgent Place,Kid(s),Rainy,79.16208260218598,10AM,2h,Female,31,Married partner,1.0051085969016735,Some college - no degree,Education&Training&Library,$50000 - $62499,Mazda5,1,0.10092182090821793,0,0.16372113234006758,1.6163702914568443,0.2081762928118368,1857
Work,Alone,Sunny,54.433970586027165,7AM,1d,Female,31,Divorced,1.0114573054786107,High School Graduate,Business & Financial,$25000 - $37499,,1,2.49935208148451,3,0.24993936689500906,1.1524141966954635,0.5058233077135187,1858
No Urgent Place,Friend(s),Rainy,56.16556108687299,10AM,2h,Male,36,Married partner,0.0031684183486402327,Associates degree,Management,$100000 or More,,0,0.31883675573040937,3,0.020442972735871593,1.1141603582299877,0.5580507105714079,1859
No Urgent Place,Friend(s),Sunny,78.48778106652851,2PM,1d,Male,36,Single,0.013631144810302562,Bachelors degree,Business & Financial,$100000 or More,Mazda5,1,-0.7943875224111925,0,0.2833627744297642,1.36513814418724,0.7448092300742422,1860
Work,Alone,Sunny,54.40446659711098,7AM,1d,Male,26,Married partner,-0.0035965386739224346,Bachelors degree,Life Physical Social Science,$37500 - $49999,,1,-0.6633315403727819,1,0.06704601567832538,1.023895139581438,0.3221572323164429,1861
No Urgent Place,Friend(s),Sunny,80.78421472145035,6PM,2h,Female,50plus,Single,0.027223690377106737,High School Graduate,Computer & Mathematical,$37500 - $49999,,0,1.2835594715675138,0,0.21818642341525737,1.6869685363984175,0.5790259262072197,1862
Work,Alone,Sunny,79.18653518829295,7AM,2h,Male,26,Single,-0.0019956179396418477,Bachelors degree,Student,$12500 - $24999,,0,-0.4901272146687953,0,0.19358872007124567,1.638795561753544,0.9539452239637145,1863
No Urgent Place,Friend(s),Sunny,81.5234841470694,6PM,2h,Male,26,Single,-0.010713866483995695,Graduate degree (Masters or Doctorate),Legal,$25000 - $37499,,0,1.1867498056918853,1,0.3140083446098678,0.2962764387899467,0.10344827523981315,1864
No Urgent Place,Friend(s),Snowy,80.30251929902916,6PM,1d,Female,31,Married partner,1.0064380597431253,Graduate degree (Masters or Doctorate),Education&Training&Library,$12500 - $24999,,1,0.6073413546931343,3,0.26127891137203235,0.07463790521326043,0.8123566170260365,1865
Work,Alone,Sunny,54.863998744898694,7AM,1d,Male,21,Single,0.03304784299980331,Bachelors degree,Student,$100000 or More,,0,-1.0895770556300004,2,0.4139553936217644,1.9884420928974327,0.7864275533269655,1866
Home,Alone,Sunny,80.35817251274959,10PM,2h,Female,36,Single,1.040306462108497,Graduate degree (Masters or Doctorate),Education&Training&Library,$25000 - $37499,,1,1.166860257891416,3,0.14150760961024253,0.1607501993296978,0.3173960128386576,1867
Work,Alone,Rainy,80.02831330271162,7AM,1d,Female,26,Single,-0.0015650450890178622,Bachelors degree,Business & Financial,$100000 or More,do not drive,1,0.8670455404309076,2,0.14087139195999412,0.43091926796917823,0.228410618827518,1868
Home,Alone,Sunny,81.26694297659664,7AM,1d,Female,41,Single,1.0337617923032636,Associates degree,Sales & Related,$25000 - $37499,,0,1.9059497901142057,3,0.09474463392318504,1.2096910617318515,0.40371035050446435,1869
No Urgent Place,Friend(s),Snowy,30.96992558638409,7AM,1d,Male,31,Married partner,1.027818197830729,Some college - no degree,Protective Service,$100000 or More,,0,0.9349882817193667,2,0.3313772037103129,0.13254520459599833,0.4410858731684312,1870
No Urgent Place,Alone,Rainy,55.38634962839875,10AM,1d,Female,21,Single,0.004971900079321878,Bachelors degree,Business & Financial,$50000 - $62499,crossover,1,-0.38107585832516544,1,0.0532614005007391,0.5233023262556573,0.3282191991047091,1871
No Urgent Place,Friend(s),Sunny,79.42501105625568,2PM,2h,Female,41,Married partner,1.003177126326009,Graduate degree (Masters or Doctorate),Business & Financial,$87500 - $99999,,0,-1.3803695049494382,1,0.09008278146225275,1.3338552026743047,0.8663773500323706,1872
Work,Alone,Sunny,80.65109444534556,7AM,1d,Male,21,Single,-0.042458909463125215,Bachelors degree,Student,$100000 or More,,1,0.528568523402957,1,0.2265902223813394,1.0292681276975224,0.541841151575567,1873
Work,Alone,Sunny,81.0696956792368,10PM,1d,Female,26,Married partner,0.9991013136302316,Some college - no degree,Management,$25000 - $37499,crossover,1,-2.466083667274595,0,0.38571540453462005,1.0068728806080365,0.8907714735564259,1874
No Urgent Place,Kid(s),Snowy,78.97466520976539,7AM,2h,Female,50plus,Unmarried partner,1.017863653554933,Some college - no degree,Management,$37500 - $49999,,0,0.19923392724539932,1,0.26019769867319836,0.391988394411295,0.37851375158253786,1875
No Urgent Place,Friend(s),Sunny,29.914513008453458,10AM,2h,Male,31,Married partner,1.0121267835418704,Some college - no degree,Computer & Mathematical,$37500 - $49999,Scooter and motorcycle,1,0.5529243318906928,2,0.5890914894462472,0.5994657236032845,0.2535869839810966,1876
Home,Alone,Sunny,80.8918504321793,6PM,1d,Male,21,Widowed,0.001796730614753321,Graduate degree (Masters or Doctorate),Computer & Mathematical,$50000 - $62499,,0,0.8094224042638001,0,0.32373663025266913,0.6515787055531707,0.9832600943111427,1877
No Urgent Place,Friend(s),Snowy,80.8587376689891,2PM,2h,Male,46,Married partner,0.9738657111455202,Some college - no degree,Computer & Mathematical,$62500 - $74999,,1,1.3628656173120897,2,0.4042558248443015,0.6024268551206593,0.12310112953521535,1878
No Urgent Place,Partner,Sunny,78.97239115345998,6PM,1d,Male,41,Married partner,0.028424279380857568,Graduate degree (Masters or Doctorate),Unemployed,$100000 or More,,1,-0.09699438066718147,2,0.1961869288850427,0.04848458598591589,0.7400650185640797,1879
Home,Alone,Sunny,80.20904824149356,6PM,2h,Male,31,Married partner,-0.008730270668992499,Some college - no degree,Sales & Related,$50000 - $62499,,1,0.7212698237810798,0,0.2859189561389732,0.5437139750736368,0.4952248135729882,1880
No Urgent Place,Kid(s),Sunny,57.18675661455277,6PM,1d,Female,50plus,Married partner,1.0025390202562872,Graduate degree (Masters or Doctorate),Education&Training&Library,$100000 or More,,1,0.654633271368146,0,0.4043484393023058,1.209968396954263,0.5410430636474443,1881
Home,Alone,Sunny,80.27676885844326,6PM,2h,Male,26,Single,0.03797547793299813,Bachelors degree,Food Preparation & Serving Related,$50000 - $62499,,1,0.8674332248610421,1,0.2636650032622374,0.15324671232654882,0.10961912069828783,1882
Work,Alone,Sunny,78.90335487229274,7AM,2h,Male,21,Single,-0.01267480752984191,Bachelors degree,Architecture & Engineering,$50000 - $62499,,1,0.6464781821197763,3,0.317175049145009,0.8989349005832008,0.15104997561467992,1883
Work,Friend(s),Rainy,54.77159681979948,7AM,1d,Male,26,Married partner,0.9900059194577412,Bachelors degree,Computer & Mathematical,$50000 - $62499,,0,-1.4560192649894925,0,0.2423167471849354,0.30657279193646764,0.24233241373742764,1884
Work,Alone,Snowy,29.170873550186762,10AM,1d,Female,31,Single,0.040908511303613546,High School Graduate,Healthcare Support,$25000 - $37499,,0,-0.8280838261712784,2,0.19671376799144946,0.7027453685680073,0.1316703016199795,1885
Home,Alone,Sunny,55.321054776529515,6PM,1d,Female,31,Unmarried partner,-0.02813963591682979,Some college - no degree,Office & Administrative Support,$75000 - $87499,,0,-0.09026007159731037,0,0.4426043934110124,0.2795122997090247,0.09489803352032822,1886
No Urgent Place,Partner,Sunny,79.43459564662993,6PM,1d,Male,21,Unmarried partner,0.029169377159609523,Bachelors degree,Education&Training&Library,$12500 - $24999,,1,0.4562958237812173,1,0.07107488869350091,0.5759443283273126,0.5467088508479904,1887
Home,Alone,Snowy,29.21953239553923,6PM,2h,Male,50plus,Married partner,0.9730394059770756,Graduate degree (Masters or Doctorate),Education&Training&Library,$87500 - $99999,,1,-0.5230060890099563,2,0.03206549596008907,0.31136050599873555,0.6828697737872476,1888
No Urgent Place,Friend(s),Snowy,30.52920991994236,10AM,1d,Female,below21,Single,-0.0017650917722589643,Some college - no degree,Student,$100000 or More,,1,-0.7901791898196532,3,0.29422549950973387,1.4733384040213424,0.6105662815975696,1889
No Urgent Place,Kid(s),Snowy,31.316946139283164,6PM,1d,Female,31,Unmarried partner,1.0231860799731374,Bachelors degree,Computer & Mathematical,$62500 - $74999,do not drive,0,-1.9468437768313436,0,0.2801715324708739,0.7545519051194979,0.5367543353708467,1890
Work,Alone,Sunny,54.88111571174681,7AM,1d,Male,41,Married partner,1.0116048565452633,Graduate degree (Masters or Doctorate),Education&Training&Library,$50000 - $62499,,0,0.5493142361453545,2,0.8064753734970632,1.0955338122568192,0.2187654131649388,1891
Work,Alone,Sunny,78.56399621479449,7AM,1d,Female,31,Married partner,0.9774108174145968,Graduate degree (Masters or Doctorate),Student,$87500 - $99999,Scooter and motorcycle,1,1.4234125233205799,0,0.4552411811350161,1.040511191751853,0.3907164485914708,1892
Work,Alone,Snowy,29.878737778903083,7AM,1d,Female,26,Married partner,-0.07123386962015976,Bachelors degree,Unemployed,$87500 - $99999,,0,-0.7016662745126043,1,0.45969372891980737,3.1084404249727497,0.7277281241011772,1893
Work,Alone,Sunny,81.21835051173551,7AM,2h,Female,31,Married partner,1.0086629675270753,High School Graduate,Healthcare Practitioners & Technical,$50000 - $62499,,0,0.43979334461890496,0,0.10993070155252775,1.0335992430150749,0.6479344427945128,1894
No Urgent Place,Partner,Sunny,77.90485697247132,10AM,1d,Male,50plus,Married partner,1.011924728372972,Associates degree,Unemployed,$37500 - $49999,,0,-2.088496841545445,3,0.5923844759750412,1.7290579593774345,0.1439171040609215,1895
No Urgent Place,Friend(s),Rainy,80.72115080798311,6PM,1d,Male,21,Single,-0.005313057692349786,Associates degree,Computer & Mathematical,$37500 - $49999,Car that is too old to install Onstar :D,1,-0.37642806494817854,3,0.06813230883429797,1.363391902866692,0.2233154700918889,1896
No Urgent Place,Kid(s),Sunny,79.95211527652063,2PM,1d,Female,31,Divorced,1.0335394932663324,High School Graduate,Business & Financial,$62500 - $74999,,1,-0.8881250898937036,2,0.2745268258620512,0.785070202039657,0.8575164962591761,1897
No Urgent Place,Friend(s),Sunny,79.50793859008715,2PM,1d,Male,41,Married partner,1.0039074872781735,Graduate degree (Masters or Doctorate),Architecture & Engineering,$100000 or More,,0,0.16038563846401538,0,0.2522139023990157,0.33170937936885275,0.9999143056918541,1898
Work,Alone,Rainy,54.25182968878346,7AM,1d,Male,41,Married partner,0.9835668526765077,Bachelors degree,Arts Design Entertainment Sports & Media,$37500 - $49999,,0,1.5126396163609144,2,0.4028990466644757,1.199482996909314,0.6897721382249931,1899
Work,Alone,Sunny,54.01948927204792,7AM,2h,Female,26,Married partner,0.9945831633455712,Some college - no degree,Office & Administrative Support,$50000 - $62499,,0,0.36474265186957977,0,0.24278803049940795,0.8231951571388171,0.27099323097611183,1900
Home,Alone,Sunny,54.434569811824325,6PM,1d,Female,26,Single,-0.014519502851009482,Some college - no degree,Office & Administrative Support,$25000 - $37499,,1,0.6302359246233942,3,0.29336264155938846,0.5297897400622908,0.02082080495281191,1901
No Urgent Place,Alone,Rainy,54.62419642779677,10PM,2h,Female,36,Married partner,0.998592035604016,Bachelors degree,Management,$100000 or More,,0,1.1912442835124424,2,0.2511154783036498,0.38699558914537446,0.1539105879594832,1902
Home,Kid(s),Sunny,79.84751892509063,6PM,2h,Female,31,Unmarried partner,0.9838510902057095,Bachelors degree,Computer & Mathematical,$62500 - $74999,,0,-1.5976497606999205,1,0.3734777473313519,1.4477595686266969,0.5560093222573472,1903
Home,Alone,Sunny,80.19070461530103,6PM,1d,Male,below21,Unmarried partner,-0.011379479775413495,Bachelors degree,Student,$25000 - $37499,,0,0.013354579923635663,1,0.3524007002169663,0.6293632474399762,0.3501609638642533,1904
Home,Alone,Sunny,53.90348864736607,6PM,1d,Male,21,Married partner,-0.03910435607755046,Bachelors degree,Management,$50000 - $62499,,1,-0.31631218971418834,2,0.36738126623790335,0.9342000378094719,0.6285208283255662,1905
Home,Alone,Sunny,79.64834931664167,10PM,1d,Female,50plus,Divorced,0.9869285693404811,Some college - no degree,Unemployed,$37500 - $49999,,0,-1.9876979261759946,1,0.1593599171516786,0.8187429868947438,0.8602047525992186,1906
Work,Alone,Sunny,54.71097591987541,10AM,2h,Female,36,Married partner,0.9940635302807383,Bachelors degree,Unemployed,$50000 - $62499,,0,0.4366730397600947,0,0.1582796722096208,0.2076295200093325,0.8381686413262022,1907
No Urgent Place,Friend(s),Sunny,54.285906107217365,2PM,2h,Male,21,Single,0.007587548166317051,Some college - no degree,Student,$50000 - $62499,,0,2.565439175752412,0,0.18535641683204618,0.21825806205328535,0.6060271611234403,1908
Home,Alone,Rainy,28.974776959582123,10PM,1d,Male,26,Single,-0.027551467417144815,Bachelors degree,Community & Social Services,$37500 - $49999,Car that is too old to install Onstar :D,0,-1.1824706225834116,2,0.4220498545729326,1.0127479638554324,0.10343380169505978,1909
Home,Alone,Snowy,30.285018081332858,10PM,2h,Male,21,Single,-0.0033202903551199942,Some college - no degree,Student,$12500 - $24999,,0,-0.8772188257268524,1,0.6418235491469053,1.4509632503181407,0.044154628399647455,1910
Work,Alone,Sunny,80.18914138486294,7AM,2h,Female,50plus,Single,0.001775475616495992,High School Graduate,Management,$37500 - $49999,,1,2.005959655797669,3,0.2089200425985404,0.5308450138548675,0.8974441741780842,1911
Work,Alone,Sunny,55.85981169821011,7AM,1d,Female,21,Single,0.002901995273200402,Bachelors degree,Sales & Related,$12500 - $24999,,1,-1.336602751384191,3,0.06891188921175544,0.8261856104250667,0.022090955944719437,1912
No Urgent Place,Alone,Sunny,54.70827368583821,6PM,2h,Male,26,Unmarried partner,0.008540864961734536,Bachelors degree,Management,$25000 - $37499,,0,0.855532564760153,1,0.03472905588515268,0.9415771548235435,0.0904879308099038,1913
Work,Alone,Snowy,30.648256436037723,7AM,1d,Male,41,Single,-0.0020367118636318406,Some college - no degree,Student,$12500 - $24999,,0,1.774660250000665,1,0.20025319252283422,0.44525786869370726,0.026694136054421613,1914
Home,Alone,Sunny,80.5957492894219,10PM,1d,Male,21,Single,-0.027799528538653962,Bachelors degree,Legal,$87500 - $99999,,0,-0.46805250734661646,1,0.07013002080025066,1.36214596148347,0.40584081024998964,1915
No Urgent Place,Kid(s),Rainy,54.4035730389756,7AM,2h,Female,50plus,Unmarried partner,0.03602913557311923,Some High School,Unemployed,$12500 - $24999,crossover,0,-0.3768056840331622,1,0.5787203805607098,0.6590958024401959,0.5074270699969011,1916
Home,Alone,Sunny,80.64430123900391,6PM,1d,Male,31,Single,0.019828850135781097,Some college - no degree,Student,$12500 - $24999,,1,0.5620883291721802,0,0.07026394400491154,0.8536326165054575,0.23944748771948143,1917
No Urgent Place,Alone,Sunny,78.89530957861683,2PM,2h,Female,36,Married partner,1.0089854414192196,Graduate degree (Masters or Doctorate),Education&Training&Library,$37500 - $49999,,1,-0.06865204060616228,3,0.3342396897117132,0.9341483249066775,0.23615733243592807,1918
Home,Alone,Sunny,81.47222210612979,6PM,1d,Female,26,Single,0.017405836150477586,Graduate degree (Masters or Doctorate),Education&Training&Library,$50000 - $62499,,0,0.7036807963981304,1,0.36459860494084895,0.4460853582928378,0.8138648878353374,1919
Home,Alone,Sunny,55.96008144783027,6PM,1d,Male,21,Single,-0.0034707357376851018,Bachelors degree,Office & Administrative Support,$37500 - $49999,Car that is too old to install Onstar :D,1,0.784350084855262,2,0.23267195782454053,0.31481871032851,0.1633976625094843,1920
Home,Alone,Sunny,56.07433217206554,10PM,1d,Male,26,Single,0.03000129133490318,Bachelors degree,Sales & Related,$75000 - $87499,,0,-0.3352115124532445,1,0.3078607199465378,3.110673041223552,0.5222041206663602,1921
No Urgent Place,Friend(s),Snowy,30.695331349318366,6PM,1d,Male,26,Single,0.004951138080979762,High School Graduate,Unemployed,$37500 - $49999,,1,0.9204119077054139,2,0.6032773037048837,0.8749026274817383,0.7194332148730205,1922
No Urgent Place,Kid(s),Sunny,80.38202355564924,2PM,1d,Male,50plus,Married partner,1.0518871870584539,Graduate degree (Masters or Doctorate),Healthcare Practitioners & Technical,Less than $12500,,1,1.4228220365747213,2,0.3581233218991682,1.0014924702571602,0.039832651883749515,1923
Work,Alone,Sunny,79.76994019506611,7AM,1d,Male,36,Married partner,-0.001092598209064024,Graduate degree (Masters or Doctorate),Construction & Extraction,$100000 or More,,1,-0.08932079039080106,0,0.21493422455944886,1.2964575650951384,0.7778713558070303,1924
Work,Alone,Sunny,80.01799551013401,7AM,2h,Female,21,Married partner,1.0024678055082226,Some college - no degree,Sales & Related,$25000 - $37499,Mazda5,0,0.5802423304561882,0,0.23849167376846686,1.0476814548467968,0.25278650577701967,1925
No Urgent Place,Partner,Sunny,79.59806380536152,2PM,1d,Male,36,Widowed,-0.0008920950783183764,Some college - no degree,Sales & Related,$50000 - $62499,,1,-0.21006470704575816,3,0.2923346238772915,1.9641118205291113,0.3646580049216386,1926
Work,Alone,Snowy,30.06803617214486,7AM,1d,Female,31,Single,0.02339644061433771,Graduate degree (Masters or Doctorate),Legal,$75000 - $87499,,0,0.7678656850065486,2,0.13396328873709923,2.2990696478902537,0.02505547196429614,1927
No Urgent Place,Friend(s),Sunny,79.21933495460195,10PM,1d,Female,21,Single,-0.011795388038724446,High School Graduate,Healthcare Support,$25000 - $37499,,1,-2.417685768882761,2,0.45728764506784414,1.6517915231957243,0.02645630354057582,1928
Work,Alone,Sunny,54.80287058869402,2PM,1d,Male,50plus,Married partner,0.03914756492897181,Bachelors degree,Personal Care & Service,$50000 - $62499,,1,0.9203016787848287,0,0.3512357721540534,1.157227093689761,0.995875677457883,1929
Home,Kid(s),Sunny,80.14533837667172,6PM,2h,Female,26,Single,0.9889667224537544,Some college - no degree,Transportation & Material Moving,$25000 - $37499,,1,-1.2003732850264734,3,0.127788763220707,1.4208855852238105,0.032820572014620186,1930
Work,Alone,Sunny,80.38905913015496,10PM,2h,Male,26,Single,0.009694861992204136,Graduate degree (Masters or Doctorate),Management,$25000 - $37499,Mazda5,0,-0.35712228000706453,1,0.08734531847107907,0.2875374132387017,0.15078895079528964,1931
Work,Kid(s),Sunny,53.97109927660094,7AM,1d,Female,50plus,Single,-0.006212079012538593,Bachelors degree,Unemployed,Less than $12500,,0,-0.7206121897284752,2,0.24413821110192738,0.40830355485344494,0.02231777738424079,1932
No Urgent Place,Alone,Sunny,79.83448903481973,10PM,1d,Male,36,Single,0.024805806760994868,Some college - no degree,Business & Financial,$37500 - $49999,do not drive,1,-2.2117564768004248,2,0.08816193580524667,2.317751995917413,0.9476740354349529,1933
Home,Alone,Snowy,30.14491742949999,10PM,1d,Male,21,Single,-0.02068791019930829,Bachelors degree,Student,$12500 - $24999,,0,0.25556703141337467,3,0.1978851545654384,1.482222429224907,0.8800056464693538,1934
No Urgent Place,Friend(s),Sunny,80.64930622498672,10PM,1d,Female,26,Unmarried partner,0.012122256692308517,Graduate degree (Masters or Doctorate),Computer & Mathematical,$62500 - $74999,,0,-0.8937460972193575,0,0.09241638360867839,0.6517324541892383,0.1679489264315691,1935
Work,Friend(s),Sunny,29.98187571345944,10PM,1d,Male,31,Single,-0.015423579997834976,Some college - no degree,Office & Administrative Support,$12500 - $24999,,1,0.19020508083506057,3,0.19518337310861703,1.5600514455711612,0.195950476025619,1936
Home,Partner,Snowy,56.27384262437615,10PM,1d,Male,26,Unmarried partner,-0.026990704597116763,Some college - no degree,Unemployed,$12500 - $24999,,0,-0.14907264504320955,3,0.3615204376421703,3.96085099164284,0.5565397025493799,1937
Work,Alone,Sunny,80.05327013871047,7AM,1d,Female,26,Married partner,1.0128492959358095,Some college - no degree,Unemployed,$62500 - $74999,,0,2.2479778512036854,3,0.2305292287354329,0.4175790041850023,0.07265056456060803,1938
No Urgent Place,Kid(s),Sunny,56.36039301713837,10AM,1d,Male,36,Married partner,0.9867955978808775,Some college - no degree,Management,$75000 - $87499,,1,-1.3465785863336397,2,0.3298487786525651,1.9725861874685484,0.14048787521645612,1939
No Urgent Place,Friend(s),Sunny,79.89423972881309,2PM,2h,Male,41,Single,0.01918213012349387,Some college - no degree,Sales & Related,$37500 - $49999,,0,1.6370383700973328,2,0.09415350382930991,0.13315036575428857,0.7803970593887614,1940
No Urgent Place,Kid(s),Sunny,80.30484506211114,2PM,2h,Male,31,Unmarried partner,-0.02784702214265948,Some college - no degree,Personal Care & Service,$62500 - $74999,,1,0.7745264422415848,0,0.14212499045041127,0.8712572222720163,0.4545232929815368,1941
Work,Alone,Sunny,56.15979755399205,2PM,1d,Female,50plus,Single,0.011495500565983191,Bachelors degree,Sales & Related,$25000 - $37499,Scooter and motorcycle,1,0.40182498121527466,1,0.10371679937925314,0.8230168449192146,0.8972380463080765,1942
Home,Alone,Sunny,55.97850803283906,6PM,1d,Male,31,Married partner,0.9530476130184459,Graduate degree (Masters or Doctorate),Computer & Mathematical,$100000 or More,,1,-0.10326078602748741,1,0.5333727885984184,0.3162615764491196,0.5939770060490529,1943
No Urgent Place,Kid(s),Sunny,80.95946176971668,10AM,2h,Male,41,Widowed,1.0075421979269177,Some college - no degree,Transportation & Material Moving,$50000 - $62499,,0,0.25254243909384905,3,0.2454365621959332,0.7475593408793523,0.8881206343229092,1944
No Urgent Place,Friend(s),Rainy,56.34370441661213,6PM,2h,Male,21,Single,0.02214398558791393,Bachelors degree,Student,$25000 - $37499,,1,-0.3176804011509017,2,0.044951438973162894,0.6076904086234741,0.9029750832714832,1945
No Urgent Place,Friend(s),Snowy,30.768790575176748,10PM,1d,Female,41,Married partner,0.9835927967533972,Some college - no degree,Student,$12500 - $24999,,0,0.8359364476588874,2,0.38214865732163056,1.8795464632509205,0.5230545990564498,1946
